ID:Trm0560m-Basso  	L1109	V3:	Il ciel esser vorrei
ID:Trm0560n-Canto  	L1128	V3:	il Ciel’esser vorrei
ID:Trm0560n-Alto   	L1147	V3:	il Ciel’esser vorrei
ID:Trm0560n-Tenore 	L1166	V3:	il Ciel’esser vorrei
ID:Trm0560n-Basso  	L1185	V3:	il Ciel’esser vorrei
ID:Trm0560n-Quinto 	L1204	V3:	il Ciel’esser vorrei
ID:Trm0560o-Canto  	L1223	V3:	Il ciel esser vorrei
ID:Trm0560o-Alto   	L1242	V3:	Il ciel esser vorrei
ID:Trm0560o-Tenore 	L1261	V3:	Il ciel esser vorrei
ID:Trm0560o-Basso  	L1280	V3:	Il ciel esser vorrei
ID:Trm0560o-Quinto 	L1299	V3:	Il ciel esser vorrei
ID:Trm0560p-Alto   	L1318	V3:	Il Ciel esser vorrei
ID:Trm0560p-Basso  	L1337	V3:	Il Ciel esser vorrei

ID:E1              	L24	V4:	Perche ne gl’occhi miei
ID:S8              	L87	V4:	Perche ne gli occhi miei
ID:S9              	L106	V4:	Perche ne gli occhi miei
ID:S11             	L125	V4:	Perche ne gli occhi miei
ID:S12             	L144	V4:	Perche ne gli occhi miei
ID:S13             	L163	V4:	Perche ne gli occhi miei
ID:S145            	L248	V4:	Perche ne gli occhi miei
ID:Trm0560a-Canto  	L289	V4:	Perche tu rivolgesti
ID:Trm0560a-Alto   	L308	V4:	Perche tu rivolgesti
ID:Trm0560a-Tenore 	L327	V4:	Perche tu rivolgesti
ID:Trm0560a-Basso  	L346	V4:	Perche tu rivolgesti
ID:Trm0560a-Quinto 	L365	V4:	Perche tu rivolgesti
ID:Trm0560b-Canto  	L384	V4:	Acciò tu rivolgessi
ID:Trm0560b-Alto   	L403	V4:	Acciò tu rivolgessi
ID:Trm0560b-Tenore 	L422	V4:	Acciò tu rivolgessi
ID:Trm0560b-Basso  	L441	V4:	Acciò tu rivolgessi
ID:Trm0560b-Quinto 	L460	V4:	Acciò tu rivolgessi
ID:Trm0560c-Canto  	L479	V4:	Perche tu rivolgessi
ID:Trm0560c-Alto   	L498	V4:	Perche tu rivolgessi
ID:Trm0560c-Tenore 	L517	V4:	Perche tu rivolgessi
ID:Trm0560c-Basso  	L536	V4:	Perche tu rivolgessi
ID:Trm0560c-Quinto 	L555	V4:	Perche tu rivolgessi
ID:Trm0560c-Sesto  	L574	V4:	Perche tu rivolgessi
ID:Trm0560d-Canto  	L593	V4:	Perche tu rivolgessi
ID:Trm0560d-Alto   	L612	V4:	Perche tu rivolgessi
ID:Trm0560d-Basso  	L631	V4:	Perche tu rivolgessi
ID:Trm0560f-Canto  	L705	V4:	Perche tu rivolgessi
ID:Trm0560f-Alto   	L724	V4:	Perche tu rivolgessi
ID:Trm0560f-Tenore 	L743	V4:	Perche tu rivolgessi
ID:Trm0560f-Basso  	L762	V4:	Perche tu rivolgessi
ID:Trm0560f-Quinto 	L782	V4:	Perche tu rivolgessi
ID:Trm0560h-Alto   	L856	V4:	[TACET]
ID:Trm0560h-Tenore 	L875	V4:	[TACET]
ID:Trm0560h-Quinto 	L894	V4:	Perche ne gl'occhi miei
ID:Trm0560k-Tenore 	L1012	V4:	Perche ne gli occhi miei
ID:Trm0560m-Canto  	L1053	V4:	Perche ne lumi miei
ID:Trm0560m-Alto   	L1072	V4:	Perche ne lumi miei
ID:Trm0560m-Tenore 	L1091	V4:	Perche ne lumi miei
ID:Trm0560m-Basso  	L1110	V4:	Perche ne lumi miei
ID:Trm0560n-Canto  	L1129	V4:	perche ne gli occhi miei
ID:Trm0560n-Alto   	L1148	V4:	perche ne gli occhi miei
