ID:E1              	L37	V16:	Anima, a Dio, con languide parole,
ID:S28             	L105	V16:	Anima, à Dio, con languide parole:
ID:S141            	L145	V16:	Anima a Dio, con languide parole:
ID:S166            	L184	V16:	Anima a Dio, con languide parole:
ID:S169            	L223	V16:	[ABSENT]
ID:Trm0379b-Canto  	L302	V16:	Anima à Dio Con languide parole
ID:Trm0379b-Alto   	L342	V16:	Anima à Dio Con languide parole
ID:Trm0379b-Tenore 	L382	V16:	Anima à Dio Con languide parole
ID:Trm0379b-Basso  	L422	V16:	Anima à Dio Con languide parole
ID:Trm0379b-Quinto 	L462	V16:	Anima à Dio Con languide parole

ID:E1              	L38	V17:	E l’altra vita à Dio le rispondea,
ID:S28             	L106	V17:	E l’altra, Vita, à Dio, le rispondea;
ID:S141            	L146	V17:	E l’altra, Vita a Dio, le rispondea,
ID:S166            	L185	V17:	E l’altra, Vita a Dio, le rispondea,
ID:S169            	L224	V17:	[ABSENT]
ID:Trm0379b-Canto  	L303	V17:	E l’altra vita à Dio li rispondea
ID:Trm0379b-Alto   	L343	V17:	E l’altra vita à Dio li rispondea
ID:Trm0379b-Tenore 	L383	V17:	E l’altra vita à Dio li rispondea
ID:Trm0379b-Basso  	L423	V17:	E l’altra vita à Dio li rispondea
ID:Trm0379b-Quinto 	L463	V17:	E l’altra vita à Dio li rispondea

ID:E1              	L39	V18:	A Dio rimanti; e non partia[n]si anchora
ID:S28             	L107	V18:	A Dio rimanti, e non partiansi ancora
ID:S141            	L147	V18:	A Dio rimanti, e non partiansi ancora
ID:S166            	L186	V18:	A Dio rimanti, e non partiansi ancora
ID:S169            	L225	V18:	[ABSENT]
ID:Trm0379b-Canto  	L304	V18:	A Dio rimanti e non partiansi ancora
ID:Trm0379b-Alto   	L344	V18:	A Dio rimanti e non parteansi ancora
ID:Trm0379b-Tenore 	L384	V18:	A Dio rimanti [TACET]
ID:Trm0379b-Basso  	L424	V18:	A Dio rimanti [TACET]
ID:Trm0379b-Quinto 	L464	V18:	A Dio rimanti E non partiansi ancora

ID:E1              	L40	V19:	Inanzi al novo Sole.
ID:S28             	L108	V19:	Innanzi al nuovo sole,
ID:S141            	L148	V19:	Inanzi al uovo Sole,
ID:S166            	L187	V19:	Inanzi al uovo Sole,
ID:S169            	L226	V19:	[ABSENT]
ID:Trm0379b-Canto  	L305	V19:	[ABSENT]
ID:Trm0379b-Alto   	L345	V19:	[ABSENT]
ID:Trm0379b-Tenore 	L385	V19:	[ABSENT]
ID:Trm0379b-Basso  	L425	V19:	[ABSENT]
ID:Trm0379b-Quinto 	L465	V19:	[ABSENT]

ID:E1              	L41	V20:	E ’nanzi a l’Alba, che nel ciel sorgea
