ID:Tam1020338e-Canto	L1226	V6:	ne spero di veder
ID:Tam1020338f-Canto	L1256	V6:	Ne spero di vedere
ID:Tam1020338f-Alto	L1286	V6:	Ne spero di vedere
ID:Tam1020338f-Tenore	L1316	V6:	Ne spero di vedere
ID:Tam1020338f-Quinto	L1346	V6:	Ne spero di vedere

ID:A-CM            	L60	V7:	Compassion ne la crudele e bella
ID:A-1580D         	L112	V7:	Compassion ne la crudele, e bella,
ID:A-1581Bbis      	L153	V7:	Compassion ne la crudele, e bella,
ID:A-1581O         	L205	V7:	Compassion ne la crudele; e bella,
ID:Tam1020338a-Canto	L785	V7:	Compassion ne la crudel’e bella
ID:Tam1020338a-Basso	L815	V7:	Compassion ne la crudele e bella
ID:Tam1020338a-Quinto	L844	V7:	Compassion ne la crudel’e bella
ID:Tam1020338b-Canto	L874	V7:	Compassion nella crudele e bella
ID:Tam1020338c-Canto	L904	V7:	Compassion nella crudel e bella
ID:Tam1020338c-Tenore	L963	V7:	Che non sò s’io mi chiami [TACET]
ID:Tam1020338c-Basso	L991	V7:	Compassion nella crudel e bella
ID:Tam1020338c-Quinto	L1018	V7:	Ò Donna ò Fera
ID:Tam1020338c-Sesto	L1048	V7:	Che non sò s’io mi chiam’ò Donn’ò Fera
ID:Tam1020338d-Canto	L1077	V7:	compassion nella crudel’e bella,
ID:Tam1020338d-Alto	L1107	V7:	compassion nella crudel’e bella,
ID:Tam1020338d-Tenore	L1137	V7:	compassion nella crudel’e bella,
ID:Tam1020338d-Basso	L1167	V7:	compassion nella crudel’e bella,
ID:Tam1020338d-Quinto	L1197	V7:	compassion nella crudel’e bella,
ID:Tam1020338e-Canto	L1227	V7:	compassion nella crudel è bella
ID:Tam1020338f-Canto	L1257	V7:	Compassion nella crudel e bella
ID:Tam1020338f-Alto	L1287	V7:	Compassion [ILLEGIBLE]
ID:Tam1020338f-Tenore	L1317	V7:	Compassion [ILLEGIBLE]
ID:Tam1020338f-Quinto	L1347	V7:	Compassion [ILLEGIBLE]

